Sample_ID	Mouse_ID	Description	Treatment	Group	Age_at_injection_weeks	Age_at_blood_collection_weeks	AMH	FSH	INHBA	
171	MeMo042	MeMo_3M_Ctrl_Pre-Injection_MeMo042	Untreated	CTL	16	16	82.354	2.96	1359.253	
172	MeMo043	MeMo_3M_Ctrl_Pre-Injection_MeMo043	Untreated	CTL	16	16	89.567	2.82	633.528	
173	MeMo044	MeMo_3M_Ctrl_Pre-Injection_MeMo044	Untreated	CTL	16	16	130.219	6.83	395.384	
174	MeMo045	MeMo_3M_Ctrl_Pre-Injection_MeMo045	Untreated	CTL	16	16	147.78	11.2	599.792	
175	MeMo046	MeMo_3M_VCD_Pre-Injection_MeMo046	Untreated	VCD	16	16	73.099	6.66	549.197	
176	MeMo047	MeMo_3M_VCD_Pre-Injection_MeMo047	Untreated	VCD	16	16	117.724	28.42	150.269	
177	MeMo048	MeMo_3M_VCD_Pre-Injection_MeMo048	Untreated	VCD	16	16	101.603	4.91	930.259	
178	MeMo049	MeMo_3M_VCD_Pre-Injection_MeMo049	Untreated	VCD	16	16	97.871	20.21	452.669	
179	MeMo050	MeMo_3M_VCD_Pre-Injection_MeMo050	Untreated	VCD	16	16	172.602	50.5	99.496	
180	MeMo055	MeMo_10M_Ctrl_Pre-Injection_MeMo055	Untreated	CTL	44	44	53.906	8.35	742.6	
181	MeMo056	MeMo_10M_Ctrl_Pre-Injection_MeMo056	Untreated	CTL	44	44	50.818	32.84	81.614	
182	MeMo057	MeMo_10M_Ctrl_Pre-Injection_MeMo057	Untreated	CTL	44	44	88.259	2.42	295.377	
183	MeMo058	MeMo_10M_Ctrl_Pre-Injection_MeMo058	Untreated	CTL	44	44	64.036	1.69	770.351	
184	MeMo059	MeMo_10M_Ctrl_Pre-Injection_MeMo059	Untreated	CTL	44	44	138.297	15.51	316.078	
185	MeMo060	MeMo_10M_VCD_Pre-Injection_MeMo060	Untreated	VCD	44	44	89.24	21.59	185.061	
186	MeMo061	MeMo_10M_VCD_Pre-Injection_MeMo061	Untreated	VCD	44	44	74.758	2.02	797.686	
